"","PDGC","variable","Subpopulation","meanDiff","sdDiff","reps","seDiff"
"1","MU020","CD44_Freq","CD133",-8.1,NA,1,NA
"2","MU020","CD44_Freq","CD44",74.3,NA,1,NA
"3","MU020","CD44_Freq","doubleNeg",-4,NA,1,NA
"4","MU020","CD44_Freq","doublePos",62.8,NA,1,NA
"5","MU020","DP_Freq","CD133",0.67,NA,1,NA
"6","MU020","DP_Freq","CD44",-3.25,NA,1,NA
"7","MU020","DP_Freq","doubleNeg",-2.94,NA,1,NA
"8","MU020","DP_Freq","doublePos",-1.1,NA,1,NA
"9","MU020","CD133_Freq","CD133",1.5,NA,1,NA
"10","MU020","CD133_Freq","CD44",-16.72,NA,1,NA
"11","MU020","CD133_Freq","doubleNeg",0,NA,1,NA
"12","MU020","CD133_Freq","doublePos",-16.06,NA,1,NA
"13","MU020","DN_Freq","CD133",5.90000000000001,NA,1,NA
"14","MU020","DN_Freq","CD44",-54.4,NA,1,NA
"15","MU020","DN_Freq","doubleNeg",6.90000000000001,NA,1,NA
"16","MU020","DN_Freq","doublePos",-45.6,NA,1,NA
"17","MU035","CD44_Freq","CD133",-14.515,15.9452579157566,2,7.97262895787832
"18","MU035","CD44_Freq","CD44",23.99,11.0450079221339,2,5.52250396106693
"19","MU035","CD44_Freq","doubleNeg",-4.01,23.4618029997696,2,11.7309014998848
"20","MU035","CD44_Freq","doublePos",4.79,0.29698484809835,2,0.148492424049175
"21","MU035","DP_Freq","CD133",10.815,20.0181929753912,2,10.0090964876956
"22","MU035","DP_Freq","CD44",9.805,12.9612672991494,2,6.48063364957471
"23","MU035","DP_Freq","doubleNeg",4.495,8.44992603517924,2,4.22496301758962
"24","MU035","DP_Freq","doublePos",40.45,11.0591500577576,2,5.5295750288788
"25","MU035","CD133_Freq","CD133",27.37,6.26496608131281,2,3.1324830406564
"26","MU035","CD133_Freq","CD44",-17.46,13.7744400975139,2,6.88722004875697
"27","MU035","CD133_Freq","doubleNeg",-6.18,25.4841283939632,2,12.7420641969816
"28","MU035","CD133_Freq","doublePos",-9.28,4.41234631460406,2,2.20617315730203
"29","MU035","DN_Freq","CD133",-23.75,2.33345237791561,2,1.1667261889578
"30","MU035","DN_Freq","CD44",-16.35,37.688791437243,2,18.8443957186215
"31","MU035","DN_Freq","doubleNeg",5.7,10.4651803615609,2,5.23259018078045
"32","MU035","DN_Freq","doublePos",-36.045,15.6199887964108,2,7.80999439820542
"33","MU039","CD44_Freq","CD133",-34.57,NA,1,NA
"34","MU039","CD44_Freq","CD44",27.8,21.2132034355964,2,10.6066017177982
"35","MU039","CD44_Freq","doubleNeg",-5.79999999999999,12.5865007051205,2,6.29325035256027
"36","MU039","CD44_Freq","doublePos",22,NA,1,NA
"37","MU039","DP_Freq","CD133",-3.69,NA,1,NA
"38","MU039","DP_Freq","CD44",-0.825,4.61740728114816,2,2.30870364057408
"39","MU039","DP_Freq","doubleNeg",-1.02,3.95979797464467,2,1.97989898732233
"40","MU039","DP_Freq","doublePos",-1.92,NA,1,NA
"41","MU039","CD133_Freq","CD133",21.6,NA,1,NA
"42","MU039","CD133_Freq","CD44",-2.6,3.67695526217005,2,1.83847763108502
"43","MU039","CD133_Freq","doubleNeg",-0.0899999999999998,0.961665222413704,2,0.480832611206852
"44","MU039","CD133_Freq","doublePos",3.33,NA,1,NA
"45","MU039","DN_Freq","CD133",16.6,NA,1,NA
"46","MU039","DN_Freq","CD44",-24.41,12.9966226382087,2,6.49831131910437
"47","MU039","DN_Freq","doubleNeg",6.9,7.77817459305202,2,3.88908729652601
"48","MU039","DN_Freq","doublePos",-23.5,NA,1,NA
"49","MU041","CD44_Freq","CD133",0.00999999999999979,NA,1,NA
"50","MU041","CD44_Freq","CD44",17.58,NA,1,NA
"51","MU041","CD44_Freq","doubleNeg",2.34,NA,1,NA
"52","MU041","CD44_Freq","doublePos",5.69,NA,1,NA
"53","MU041","DP_Freq","CD133",2,NA,1,NA
"54","MU041","DP_Freq","CD44",8.26,NA,1,NA
"55","MU041","DP_Freq","doubleNeg",1.55,NA,1,NA
"56","MU041","DP_Freq","doublePos",12.98,NA,1,NA
"57","MU041","CD133_Freq","CD133",13.18,NA,1,NA
"58","MU041","CD133_Freq","CD44",0.71,NA,1,NA
"59","MU041","CD133_Freq","doubleNeg",0.989999999999999,NA,1,NA
"60","MU041","CD133_Freq","doublePos",14.28,NA,1,NA
"61","MU041","DN_Freq","CD133",-15.2,NA,1,NA
"62","MU041","DN_Freq","CD44",-26.5,NA,1,NA
"63","MU041","DN_Freq","doubleNeg",-4.8,NA,1,NA
"64","MU041","DN_Freq","doublePos",-32.9,NA,1,NA
